run_id,case,stratum,permutation,numeric_form,permutation_spec,permutation_seed,environment,environment_fingerprint,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_b-016,case_b,row_shuffle,row_shuffle_06,True,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",476120926,clean_process,f37a3b8e9237cb5b,1154522942,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-017,case_b,row_shuffle,row_shuffle_07,False,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""obligation_order"": true, ""risk_order"": true}",759136135,in_process,e4341875fef16422,2677221055,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-018,case_b,row_shuffle,row_shuffle_08,False,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""obligation_order"": true, ""risk_order"": true}",1157397359,clean_process,c15c21b8f66485fa,1423734354,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-019,case_b,row_shuffle,row_shuffle_09,True,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1597741886,in_process,75d3f5c4ae3e9b0b,63453551,"tr_TR.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-020,case_b,row_shuffle,row_shuffle_10,False,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""obligation_order"": true, ""risk_order"": true}",1386997563,clean_process,e3e7f6e36f89a3de,3715493660,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-021,case_b,key_shuffle,key_shuffle_01,False,"{""key_order"": ""reverse""}",1447699540,in_process,2e5c45f7827587d9,665511079,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-022,case_b,key_shuffle,key_shuffle_02,True,"{""key_order"": ""shuffle"", ""numeric_form"": true}",131028586,clean_process,8133e148b7fc2e9c,823420485,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-023,case_b,key_shuffle,key_shuffle_03,False,"{""key_order"": ""rotate""}",1489596525,in_process,0a3d6a09eefd4207,795636474,"de_DE.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-024,case_b,key_shuffle,key_shuffle_04,True,"{""key_order"": ""shuffle"", ""numeric_form"": true}",1382318399,clean_process,6f52b06589f0e2cb,3088273016,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-025,case_b,key_shuffle,key_shuffle_05,False,"{""key_order"": ""reverse""}",802555614,in_process,d9c322463782d5f0,3359201966,"ja_JP.UTF-8 (unavailable, fell back to LC_CTYPE=C.UTF-8;LC_NUMERIC=C;LC_TIME=C;LC_COLLATE=C;LC_MONETARY=C;LC_MESSAGES=C;LC_PAPER=C;LC_NAME=C;LC_ADDRESS=C;LC_TELEPHONE=C;LC_MEASUREMENT=C;LC_IDENTIFICATION=C)",Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
