case,metric,value,numerator,denominator,definition
case_a,DC,1.0000,16,16,"|{r_i : Delta_i in (runtime, nonruntime, accepted)}| / |R|"
case_a,RCY,0.8125,13,16,|{r_i : Delta_i = runtime(D_i)}| / |R|
case_a,NDR,0.1875,3,16,"|{r_i : Delta_i in (nonruntime, accepted)}| / |R|"
case_a,OPR,0.0000,0,19,|{p in P : origin(p) not in R union INV}| / |P|
case_a,ODC,1.0000,12,12,|{o in O : o ~> runtime or nonruntime or accepted}| / |O|
case_a,PTC,1.0000,19,19,|{p in P : p ~> risk or compiler invariant}| / |P|
case_a,CV,1.0000,6,6,|{r_i : C*(c_i)=1 and each hazardous action path mandatorily gated}| / |{r_i : C*(c_i)=1}|
case_a,GD(T_H),3,3,16,GD at declared T_H = 15
case_a,GD_min,3,3,16,minimum over all candidate scalar thresholds
case_b,DC,1.0000,6,6,"|{r_i : Delta_i in (runtime, nonruntime, accepted)}| / |R|"
case_b,RCY,1.0000,6,6,|{r_i : Delta_i = runtime(D_i)}| / |R|
case_b,NDR,0.0000,0,6,"|{r_i : Delta_i in (nonruntime, accepted)}| / |R|"
case_b,OPR,0.0000,0,9,|{p in P : origin(p) not in R union INV}| / |P|
case_b,ODC,1.0000,6,6,|{o in O : o ~> runtime or nonruntime or accepted}| / |O|
case_b,PTC,1.0000,9,9,|{p in P : p ~> risk or compiler invariant}| / |P|
case_b,CV,1.0000,4,4,|{r_i : C*(c_i)=1 and each hazardous action path mandatorily gated}| / |{r_i : C*(c_i)=1}|
case_b,GD(T_H),4,4,6,GD at declared T_H = 15
case_b,GD_min,0,0,6,minimum over all candidate scalar thresholds
both,DF,DEFERRED,,,DF_i = |F_i intersect F_i*| / |F_i*|; DF = mean over R
both,SNR,DEFERRED,,,sum_i SN_i / |R| against the independently adjudicated reference
