run_id,case,permutation,permutation_spec,permutation_seed,environment,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_a-001,case_a,baseline,{},96029441,in_process,48046374,C,UTC,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,PASS
case_a-002,case_a,key_order_reverse,"{""key_order"": ""reverse""}",639597101,clean_process,4110778351,en_US.UTF-8,Pacific/Chatham,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,PASS
case_a-003,case_a,key_order_shuffle,"{""key_order"": ""shuffle""}",13918715,in_process,447026317,de_DE.UTF-8,America/Edmonton,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,PASS
case_a-004,case_a,key_order_rotate,"{""key_order"": ""rotate""}",1895190805,clean_process,4095724329,tr_TR.UTF-8,Europe/Berlin,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,ec76b81d89b43128ec05c580a6bc03780ce1fa882b223442aeb630f3a8954ec9,PASS
case_b-001,case_b,baseline,{},96029441,in_process,48046374,C,UTC,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,PASS
case_b-002,case_b,key_order_reverse,"{""key_order"": ""reverse""}",639597101,clean_process,4110778351,en_US.UTF-8,Pacific/Chatham,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,PASS
case_b-003,case_b,key_order_shuffle,"{""key_order"": ""shuffle""}",13918715,in_process,447026317,de_DE.UTF-8,America/Edmonton,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,PASS
case_b-004,case_b,key_order_rotate,"{""key_order"": ""rotate""}",1895190805,clean_process,4095724329,tr_TR.UTF-8,Europe/Berlin,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,ff01015b3c4165f7d976c33feaf83bc50f76f64c4535d9d63931264dc63148c8,PASS
