run_id,case,stratum,permutation,numeric_form,permutation_spec,permutation_seed,environment,environment_fingerprint,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_b-006,case_b,repeat,repeat_06,False,{},824110192,clean_process,448edc11c6723abf,3082026876,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-007,case_b,repeat,repeat_07,False,{},1921478837,in_process,ac65fca4a4e8db86,92540749,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-008,case_b,repeat,repeat_08,False,{},381326646,clean_process,d10883f835445463,3845123093,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-009,case_b,repeat,repeat_09,False,{},1100509109,in_process,7b662dcd2340c121,527853120,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-010,case_b,repeat,repeat_10,False,{},77767528,clean_process,e92e2fcb4b9cdc2f,1136804847,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-011,case_b,row_shuffle,row_shuffle_01,False,"{""risk_order"": true}",597850609,in_process,c2af04281a5c5fda,2207399378,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-012,case_b,row_shuffle,row_shuffle_02,False,"{""obligation_order"": true}",296723216,clean_process,63590a401cbdfb61,3491632063,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-013,case_b,row_shuffle,row_shuffle_03,True,"{""acs_order"": true, ""numeric_form"": true}",568623352,in_process,1eb21e1fe44e8d90,1587017209,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-014,case_b,row_shuffle,row_shuffle_04,False,"{""catalog_order"": true}",1767596254,clean_process,7f0bac468d73ce22,3635061239,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-015,case_b,row_shuffle,row_shuffle_05,False,"{""authority_order"": true}",1761978728,in_process,b6653977a44bf34d,1438300445,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
